,Brand,Model,model_year,km_driven,car_type,gear_type,location,price,fuel_type
211,mercedes,BENZ M CLASS ,2012,94000.0,suv/muv,Auto,malad,1825000.0,Diesel
212,mercedes,BENZ S CLASS 300L ,2013,57000.0,sedan,Auto,malad,1549000.0,Petrol
213,mercedes,BENZ V CLASS EXCLUSIVE ,2019,4000.0,suv/muv,Auto,malad,8250000.0,Diesel
214,audi,A3 35 TFSI TECHNOLOGY ,2019,9000.0,sedan,Auto,malad,2745000.0,Petrol
215,audi,A4 30 TFSI TECHNOLOGY ,2018,1850.0,sedan,Automatic,malad,3449000.0,Petrol
216,bmw,6 SERIES ,2021,7000.0,sedan,Auto,malad,6750000.0,Petrol
217,maruti,SUZUKI CIAZ ,2017,15000.0,sedan,Auto,malad,825000.0,Petrol
218,mercedes,BENZ CLA CLASS ,2020,8000.0,sedan,Automatic,malad,3225000.0,Diesel
219,mercedes,BENZ GL 350  ,2015,63800.0,suv/muv,Auto,malad,4250000.0,Diesel
220,hyundai,I10 ,2012,54444.0,hatchback,Manual,thane,250000.0,Petrol
221,bmw,7 SERIES ,2016,38000.0,sedan,Auto,malad,6825000.0,Diesel
222,honda,City ,2016,48657.0,sedan,Auto,malad,750000.0,Petrol
223,mercedes,BENZ GLC 300 ,2018,27000.0,suv/muv,Auto,malad,4450000.0,Petrol
224,porsche,718 BOXTER ,2017,34000.0,sedan,Auto,malad,8650000.0,Petrol
225,skoda,Rapid ,2016,52000.0,sedan,Automatic,malad,650000.0,Diesel
226,toyota,ETIOS V ,2018,25600.0,sedan,Manual,malad,649999.0,Petrol
227,toyota,ETIOS VX ,2015,50000.0,sedan,Manual,malad,425000.0,Petrol
228,toyota,FORTUNER 3.0 MT ,2010,125000.0,suv/muv,Manual,malad,800000.0,Diesel
229,volkswagen,VENTO HIGHLINE  ,2012,62363.0,sedan,Manual,malad,349999.0,Diesel
230,hyundai,GETZ ,2006,95000.0,hatchback,Manual,andheri,110000.0,Petrol
231,bmw,520d sports line  ,2018,22000.0,sedan,Auto,mumbai,4575000.0,Diesel
232,maruti,suzuki ciaz ,2017,22000.0,sedan,Manual,manual,675000.0,Petrol
233,skoda,Rapid ,2016,61700.0,sedan,Automatic,malad,550000.0,Diesel
234,hyundai,i20 Asta ,2010,77000.0,sedan,Manual,mumbai,275000.0,Petrol
235,mercedes,Benz C Class ,2008,65000.0,sedan,Automatic,borivali,675000.0,Petrol
236,skoda,Superb ,2016,73000.0,sedan,Auto,jogeshwari,1500000.0,Diesel
237,honda,City ,2012,55000.0,sedan,Manual,malad,390000.0,Petrol
238,maruti,BALENO ,2017,54000.0,sedan,Manual,malad,575000.0,Diesel
239,honda,City ,2010,55000.0,sedan,Manual,mumbai,290000.0,Petrol
240,toyota,Glanza G ,2020,14000.0,sedan,Manual,mumbai,775000.0,Petrol
241,skoda,Octavia Style Plus ,2019,58000.0,sedan,Automatic,mumbai,1950000.0,Diesel
242,toyota,Corolla  ,2017,70000.0,sedan,Automatic,borivali west,1029999.0,Petrol
243,maruti,swift vxi ,2014,62000.0,hatchback,Manual,mumbai,395000.0,Petrol
244,volkswagen,vento  ,2015,85000.0,sedan,Automatic,mumbai,500000.0,Diesel
245,volkswagen,vento  ,2012,87000.0,sedan,Manual,mumbai,295000.0,Diesel
246,bmw,520d luxury ,2012,87000.0,sedan,Automatic,mumbai,1250000.0,Diesel
247,volkswagen,vento  ,2016,57000.0,sedan,Manual,mumbai,575000.0,Petrol
248,honda,city  ,2018,21000.0,sedan,Manual,mumbai,825000.0,Petrol
249,tata,Tigor ,2017,15900.0,sedan,Manual,malad,524999.0,Petrol
250,toyota,Corolla Altis ,2015,43000.0,sedan,Manual,malad,875000.0,Petrol
251,bmw,520 D ,2013,91322.0,luxury,Auto,malad,1399000.0,Diesel
252,maruti,SWIFT DZIRE ,2012,57000.0,sedan,Manual,jogeshwari east,330000.0,Diesel
253,honda,City ,2014,55000.0,sedan,Manual,mumbai,585000.0,Diesel
254,bmw,MSPORTS ,2021,8000.0,sedan,Auto,mumbai,5495000.0,Petrol
255,bmw,520D ,2017,12000.0,sedan,Auto,goregaon,4595000.0,Diesel
256,bmw,730LD M-SPORTS ,2016,17000.0,sedan,Auto,mumbai,7195000.0,Diesel
257,bmw,X1 ,2016,43000.0,suv/muv,Auto,mumbai,2145000.0,Diesel
258,bmw,X1   ,2017,37602.0,luxury,Auto,malad,2399000.0,Diesel
259,maruti,BALENO ZETA ,2017,9480.0,hatchback,Manual,borivali,595000.0,Petrol
260,maruti,Swift ZXI ,2018,36000.0,sedan,Automatic,borivali,725000.0,Petrol
261,volvo,XC90 D5 AWD ,2016,133000.0,suv,Automatic,mumbai,3900000.0,Diesel
262,maruti,Swift VXI ,2017,7000.0,sedan,Manual,borivali,555000.0,Petrol
263,hyundai,i10 Asta ,2012,77000.0,sedan,Manual,mumbai,295000.0,Petrol
264,hyundai,Creta E+ 1.6 ,2017,32000.0,sedan,Manual,borivali,875000.0,Petrol
265,hyundai,i20 Sports ,2012,49000.0,sedan,Manual,borivali,375000.0,Petrol
266,maruti,Wagon ,2013,57000.0,hatchback,Manual,mumbai,320000.0,Petrol
267,hyundai,Elantra ,2012,110000.0,sedan,Manual,powai,450000.0,Petrol
268,hyundai,GRAND i10 ,2015,65000.0,hatchback,Manual,powai,449000.0,Diesel
269,honda,JAZZ i-VTEC ,2016,35000.0,hatchback,Manual,powai,449000.0,Petrol
270,maruti,SUZUKI BALENO ,2016,61000.0,hatchback,Manual,powai,520000.0,Petrol
271,hyundai,CRETA 1.6 ,2018,43000.0,suv/muv,Auto,powai,945000.0,Petrol
272,hyundai,VERNA FLUIDIC ,2015,54000.0,sedan,Manual,powai,499000.0,Petrol
273,hyundai,Grand  i10 ,2020,14900.0,hatchback,Manual,borivali,597000.0,Petrol
274,hyundai,Ii10 ,2011,45438.0,hatchback,Manual,andheri,200000.0,Petrol
275,volkswagen,VENTO ,2016,63713.0,sedan,Automatic,malad,575000.0,Petrol
276,maruti,Swift vxi  ,2012,59000.0,hatchback,Manual,borivali,379000.0,Petrol
277,maruti,Suzuki Dzire ,2012,62363.0,sedan,Manual,borivali,399000.0,Petrol
278,hyundai,i10 Sportz ,2014,37500.0,hatchback,Manual,borivali,385000.0,Petrol
279,toyota,Toyota  ,2013,125000.0,suv/muv,Manual,borivali,1375000.0,Diesel
280,maruti,Suzuiki  ,2014,60000.0,hatchback,Automatic,borivali,400000.0,Petrol
281,maruti,Ertiga ,2014,68000.0,suv/muv,Manual,borivali,700000.0,Petrol
282,honda,Civic  ,2011,76000.0,sedan,Manual,borivali,355000.0,Petrol
283,chevrolet,Beat  ,2014,60000.0,hatchback,Manual,borivali,251000.0,Petrol
284,mahindra,Scorpio  ,2013,145000.0,suv/muv,Manual,borivali,545000.0,Diesel
285,maruti,Ciaz  ,2017,48000.0,sedan,Manual,borivali,725000.0,Diesel
286,maruti,Dzire  ,2011,48000.0,sedan,Manual,borivali,325000.0,Diesel
287,mahindra,XUV W6 ,2021,18000.0,suv/muv,Automatic,mumbai,952000.0,Petrol
288,tata,Tigor  ,2021,10000.0,hatchback,Manual,mumbai,710000.0,Petrol
289,hyundai,Creta  ,2019,18000.0,suv/muv,Automatic,mumbai,1450000.0,Petrol
290,maruti,Vitara Brezza ,2019,3000.0,suv/muv,Automatic,mumbai,1185000.0,Diesel
291,hyundai,Venue  ,2022,2452.0,suv/muv,Manual,mumbai,880000.0,Petrol
292,bmw, X1 ,2012,23000.0,suv/muv,Automatic,mumbai,675000.0,Petrol
293,audi,A6 ,2012,60000.0,luxury,Automatic,miraroad,1450000.0,Diesel
294,tata,Nexon ,2018,54000.0,suv/muv,Automatic,mahim,950000.0,Diesel
295,volkswagen,Polo ,2015,10000.0,hatchback,Manual,mahim,650000.0,Diesel
